Site,Date,Temperature,pH,DO,Species,Count,AvgSize,Cluster_raw,Cluster,Predicted_Count
AV-2,2023-12-11,16.0,7.04,6.7,Brown Trout,17,18.7,0,At-Risk,11.4
AV-2,2023-12-13,17.9,7.12,6.9,Inanga,6,7.9,0,At-Risk,9.6
AV-2,2023-12-14,16.3,7.68,8.0,Longfin Eel,19,44.9,1,Moderate,14.7
AV-2,2023-12-15,18.6,7.67,7.9,Inanga,3,7.2,2,Good,11.1
AV-2,2023-12-18,15.5,7.67,7.3,Longfin Eel,16,44.7,1,Moderate,12.6
AV-2,2023-12-19,18.7,7.39,9.1,Brown Trout,20,19.4,2,Good,16.1
AV-3,2023-10-11,13.2,7.38,7.5,Brown Trout,9,18.2,1,Moderate,11.9
AV-3,2023-10-13,16.4,7.44,7.7,Longfin Eel,7,42.7,1,Moderate,11.6
AV-3,2023-10-21,15.1,7.6,7.5,Inanga,25,7.4,0,At-Risk,17.5
AV-3,2023-10-25,14.5,7.49,8.0,Longfin Eel,4,44.0,1,Moderate,13.2
AV-3,2023-10-27,17.1,7.45,8.3,Inanga,26,7.6,0,At-Risk,18.4
AV-3,2023-10-29,16.5,7.51,9.2,Shortfin Eel,6,41.6,1,Moderate,13.1
AV-3,2023-10-30,16.7,7.59,9.0,Brown Trout,10,17.3,2,Good,11.2
AV-3,2023-10-31,17.3,7.5,9.1,Inanga,25,7.6,2,Good,16.0
AV-3,2023-11-01,17.2,7.34,7.8,Brown Trout,11,17.9,0,At-Risk,14.7
AV-3,2023-11-06,18.2,7.39,8.0,Inanga,24,8.3,0,At-Risk,17.1
AV-3,2023-11-08,18.0,7.31,6.7,Shortfin Eel,8,40.1,1,Moderate,14.1
AV-3,2023-11-09,18.3,7.41,7.7,Longfin Eel,5,43.2,1,Moderate,11.9
AV-3,2023-11-10,17.9,7.22,8.4,Inanga,22,8.1,0,At-Risk,16.7
AV-3,2023-11-12,18.6,7.33,6.5,Inanga,30,6.9,0,At-Risk,17.3
AV-3,2023-11-14,19.2,7.36,7.4,Inanga,28,7.3,0,At-Risk,19.1
AV-3,2023-11-15,19.7,7.42,7.9,Brown Trout,12,18.7,0,At-Risk,13.3
AV-3,2023-12-04,20.1,7.39,6.7,Longfin Eel,7,41.3,1,Moderate,13.0
AV-3,2023-12-07,20.5,7.52,7.55,Inanga,16,8.0,0,At-Risk,15.4
AV-3,2023-12-07,20.5,7.52,7.55,Brown Trout,19,17.5,0,At-Risk,15.4
AV-3,2023-12-15,17.9,7.59,7.4,Shortfin Eel,5,39.6,1,Moderate,11.1
AV-3,2023-12-19,20.7,7.26,7.2,Inanga,5,7.1,0,At-Risk,12.3
AV-3,2023-12-20,18.1,7.44,7.1,Longfin Eel,12,42.4,1,Moderate,11.7
AV-3,2023-12-22,14.6,7.31,6.9,Brown Trout,22,16.6,0,At-Risk,16.8
AV-3,2023-12-23,20.3,7.74,7.2,Inanga,20,8.4,0,At-Risk,14.2
AV-3,2023-12-24,20.2,7.1,8.6,Brown Trout,7,17.2,0,At-Risk,11.8
AV-3,2023-12-29,14.1,7.48,6.9,Brown Trout,20,16.9,0,At-Risk,13.5
