Site,Date,Day,DO_Value,Trend_Value,Projection_Value,Type,Safe_Minimum
AV-3,2023-10-29,18,9.2,7.936,,Observed,7.0
AV-3,2023-10-30,19,9.0,7.924,,Observed,7.0
AV-3,2023-10-31,20,9.1,7.911,,Observed,7.0
AV-3,2023-11-01,21,7.8,7.899,,Observed,7.0
AV-3,2023-11-06,26,8.0,7.837,,Observed,7.0
AV-3,2023-11-08,28,6.7,7.812,,Observed,7.0
AV-3,2023-11-09,29,7.7,7.8,,Observed,7.0
AV-3,2023-11-10,30,8.4,7.787,,Observed,7.0
AV-3,2023-11-12,32,6.5,7.762,,Observed,7.0
AV-3,2023-11-14,34,7.4,7.738,,Observed,7.0
AV-3,2023-11-15,35,7.9,7.725,,Observed,7.0
AV-3,2023-12-04,54,6.7,7.49,,Observed,7.0
AV-3,2023-12-07,57,7.55,7.452,,Observed,7.0
AV-3,2023-12-15,65,7.4,7.353,,Observed,7.0
AV-3,2023-12-19,69,7.2,7.304,,Observed,7.0
AV-3,2023-12-20,70,7.1,7.291,,Observed,7.0
AV-3,2023-12-22,72,6.9,7.266,,Observed,7.0
AV-3,2023-12-23,73,7.2,7.254,,Observed,7.0
AV-3,2023-12-24,74,8.6,7.242,,Observed,7.0
AV-3,2023-12-29,79,6.9,7.18,,Observed,7.0
AV-3,2023-12-29,79,,,7.18,Projection,7.0
AV-3,2023-12-30,80,,,7.167,Projection,7.0
AV-3,2023-12-31,81,,,7.155,Projection,7.0
AV-3,2024-01-01,82,,,7.142,Projection,7.0
AV-3,2024-01-02,83,,,7.13,Projection,7.0
AV-3,2024-01-03,84,,,7.118,Projection,7.0
AV-3,2024-01-04,85,,,7.105,Projection,7.0
AV-3,2024-01-05,86,,,7.093,Projection,7.0
AV-3,2024-01-06,87,,,7.08,Projection,7.0
AV-3,2024-01-07,88,,,7.068,Projection,7.0
AV-3,2024-01-08,89,,,7.056,Projection,7.0
AV-3,2024-01-09,90,,,7.043,Projection,7.0
AV-3,2024-01-10,91,,,7.031,Projection,7.0
AV-3,2024-01-11,92,,,7.018,Projection,7.0
AV-3,2024-01-12,93,,,7.006,Projection,7.0
AV-3,2024-01-13,94,,,6.994,Projection,7.0
AV-3,2024-01-14,95,,,6.981,Projection,7.0
AV-3,2024-01-15,96,,,6.969,Projection,7.0
AV-3,2024-01-16,97,,,6.956,Projection,7.0
AV-3,2024-01-17,98,,,6.944,Projection,7.0
AV-3,2024-01-18,99,,,6.932,Projection,7.0
AV-3,2024-01-19,100,,,6.919,Projection,7.0
AV-3,2024-01-20,101,,,6.907,Projection,7.0
AV-3,2024-01-21,102,,,6.894,Projection,7.0
AV-3,2024-01-22,103,,,6.882,Projection,7.0
AV-3,2024-01-23,104,,,6.87,Projection,7.0
AV-3,2024-01-24,105,,,6.857,Projection,7.0
AV-3,2024-01-25,106,,,6.845,Projection,7.0
AV-3,2024-01-26,107,,,6.832,Projection,7.0
AV-3,2024-01-27,108,,,6.82,Projection,7.0
AV-3,2024-01-28,109,,,6.808,Projection,7.0
