User_ID,Age,Gender,Workouts_per_Week,Avg_Session_Duration_Min,Steps_per_Day,Subscription_Type,Churned,Cluster
44,19,Male,5,52.4,10258,Free,0,2
45,37,Male,2,45.8,2232,Free,0,0
46,45,Female,0,45.9,12348,Free,0,1
47,24,Male,1,23.4,11361,Premium,0,1
48,25,Male,6,39.2,12350,Premium,0,2
49,52,Female,5,58.3,8371,Free,0,3
50,31,Female,4,41.5,6206,Free,1,0
51,34,Male,5,45.7,11685,Free,0,2
52,53,Male,1,27.4,14910,Premium,0,1
53,57,Female,1,51.7,9943,Free,0,1
54,21,Female,5,23.1,14199,Free,0,2
55,19,Female,0,49.3,8891,Premium,1,0
56,23,Female,3,42.2,8738,Premium,0,2
57,59,Male,1,18.9,4472,Free,0,3
58,21,Female,5,61.0,12852,Premium,0,2
59,46,Female,6,42.5,4739,Premium,1,3
60,35,Male,5,72.9,7401,Free,1,2
61,43,Female,2,67.2,3761,Free,1,0
62,51,Male,3,31.8,13706,Free,0,1
63,27,Female,4,33.1,12167,Free,0,2
64,53,Female,0,27.4,12554,Premium,0,1
65,31,Female,4,21.2,2876,Premium,0,0
66,48,Male,3,38.7,5812,Free,0,3
67,32,Male,3,66.7,13640,Free,0,2
68,25,Female,3,16.3,11504,Free,0,2
69,31,Male,4,57.8,3460,Free,0,0
70,40,Male,6,56.5,12901,Premium,0,2
71,57,Male,3,53.3,12516,Free,1,1
72,38,Male,5,56.0,3733,Free,0,0
73,33,Male,4,28.4,3605,Free,0,0
74,35,Male,3,56.4,7622,Premium,1,0
75,41,Female,5,36.8,8767,Free,0,3
76,43,Female,6,8.1,12755,Premium,0,3
77,42,Male,2,45.9,13613,Free,0,1
78,58,Female,6,32.3,8986,Premium,0,3
79,46,Female,3,65.4,5517,Premium,1,0
80,32,Female,4,40.7,12589,Free,0,2
81,18,Female,1,45.7,5735,Free,0,0
82,42,Male,3,50.8,13062,Premium,0,1
83,24,Female,1,41.0,11352,Premium,0,1
84,26,Female,5,43.4,10434,Free,0,2
85,41,Male,2,57.7,4590,Free,1,0
86,18,Male,0,29.0,3063,Premium,0,0
87,25,Female,6,34.5,6324,Free,1,2
88,41,Female,2,30.5,12787,Free,0,1
89,28,Female,3,66.6,11111,Premium,0,2
90,34,Female,1,34.5,7342,Free,0,0
91,25,Female,6,42.9,2005,Free,0,0
92,52,Female,1,36.0,9489,Free,1,1
93,52,Male,4,40.4,10659,Free,1,3
94,50,Female,1,33.9,14362,Free,0,1
95,22,Female,4,51.9,10195,Premium,0,2
96,59,Male,5,29.4,7966,Free,0,3
97,56,Male,6,24.7,10837,Free,0,3
98,58,Male,6,36.6,2117,Free,0,3
99,45,Male,0,33.0,13120,Free,0,1
100,24,Female,3,24.9,4551,Premium,0,0
101,26,Female,4,40.1,7560,Free,0,2
102,25,Female,0,20.1,6289,Free,0,0
103,29,Female,1,70.9,2846,Premium,0,0
104,51,Female,1,22.6,12954,Free,0,1
105,50,Female,0,35.3,8316,Free,0,1
106,40,Male,6,38.9,8469,Free,0,3
107,41,Female,1,70.3,11333,Free,0,1
108,54,Male,5,19.0,12002,Free,0,3
109,52,Male,5,47.1,10915,Free,0,3
110,57,Female,0,60.6,2224,Premium,0,0
111,39,Male,4,40.4,14819,Free,0,2
112,44,Female,4,27.5,6208,Free,0,3
113,52,Male,0,43.4,8283,Premium,0,1
114,18,Female,4,67.9,14846,Free,0,2
115,52,Male,6,35.8,4048,Premium,0,3
116,54,Female,6,66.5,8233,Free,0,3
117,31,Female,4,48.9,14941,Free,0,2
118,20,Female,5,63.5,14607,Premium,0,2
119,18,Female,4,48.3,11765,Free,0,2
120,22,Female,6,37.7,3828,Free,0,2
121,43,Male,2,69.6,3917,Free,0,0
122,31,Male,3,48.4,6234,Free,0,0
123,56,Male,1,47.5,8988,Premium,0,1
124,44,Female,2,57.1,4026,Free,0,0
125,26,Male,4,58.9,5744,Free,0,0
126,32,Female,5,57.2,11093,Free,0,2
127,32,Female,0,24.7,14977,Premium,0,1
128,43,Male,4,35.4,12231,Free,0,3
129,59,Male,5,35.2,2009,Premium,0,3
130,30,Female,3,33.3,2260,Free,1,0
131,49,Male,4,31.9,8038,Premium,0,3
132,56,Female,6,34.9,11865,Premium,0,3
133,49,Female,0,50.0,4219,Premium,0,0
134,21,Female,5,52.4,9041,Premium,0,2
135,47,Female,5,45.0,4060,Free,0,3
136,54,Female,5,38.6,7287,Free,0,3
137,40,Male,3,64.1,13905,Free,0,2
138,56,Male,4,43.6,3619,Free,0,3
139,32,Female,3,59.1,10512,Free,0,2
140,46,Female,1,36.5,3342,Free,0,0
141,53,Male,1,51.2,12568,Free,0,1
142,30,Male,4,65.1,4832,Free,0,0
143,49,Female,6,5.9,4824,Premium,0,3
144,24,Male,3,35.2,3994,Free,1,0
145,39,Female,0,53.9,13150,Premium,0,1
146,45,Male,5,63.2,12230,Premium,0,2
147,19,Female,5,48.0,5490,Premium,0,2
148,59,Male,4,45.7,13869,Premium,0,3
149,23,Female,6,69.2,11310,Premium,0,2
150,45,Male,1,64.1,9984,Premium,0,1
151,45,Male,1,32.0,3604,Premium,1,0
152,37,Female,5,46.7,14219,Free,0,2
153,47,Male,4,50.4,2235,Free,1,0
154,28,Female,3,70.8,12161,Free,0,2
155,45,Male,1,58.0,14621,Free,0,1
156,42,Female,3,43.4,3908,Premium,0,0
157,56,Male,6,48.3,10567,Premium,0,3
158,50,Female,1,16.7,5530,Premium,0,1
159,18,Male,1,59.5,7256,Free,0,0
160,44,Female,2,54.7,4635,Premium,0,0
161,30,Male,1,63.2,10162,Premium,0,0
162,58,Female,0,42.8,11762,Premium,0,1
163,20,Female,4,46.9,4560,Premium,0,0
164,56,Female,4,37.8,7415,Premium,0,3
165,23,Male,3,27.8,5391,Free,0,0
166,25,Female,6,36.0,13157,Premium,0,2
167,44,Male,1,17.7,13835,Free,0,1
168,26,Female,0,58.7,7951,Free,0,0
169,54,Male,3,12.4,7468,Premium,0,3
170,50,Female,2,75.5,10007,Free,0,1
171,59,Male,3,18.5,14042,Premium,0,3
172,41,Male,3,67.5,11064,Free,0,2
173,32,Female,1,31.4,11444,Premium,0,1
174,49,Male,2,53.4,8413,Free,0,1
175,49,Male,3,33.7,8941,Premium,0,3
176,41,Female,0,70.1,11506,Premium,0,1
177,58,Male,0,45.7,6820,Free,0,1
178,29,Male,4,61.1,4898,Free,1,0
179,56,Male,2,46.1,9546,Premium,0,1
180,19,Female,2,50.3,2077,Free,0,0
181,20,Male,4,54.2,9577,Free,0,2
182,54,Female,3,37.1,12813,Free,0,1
183,34,Male,2,25.8,6227,Free,0,0
184,19,Male,0,25.5,2600,Premium,0,0
185,19,Male,0,45.8,3065,Premium,0,0
186,45,Female,1,37.7,4136,Free,1,0
187,40,Male,2,12.8,12641,Free,0,1
188,54,Male,3,52.7,12535,Premium,0,1
189,49,Female,4,26.7,12055,Free,0,3
190,50,Male,4,27.6,11510,Free,0,3
191,18,Female,3,44.4,14903,Premium,0,2
192,36,Female,6,31.5,13789,Premium,0,2
193,19,Male,5,46.8,8943,Premium,0,2
194,43,Female,1,74.6,13954,Premium,0,1
195,49,Male,4,39.3,9804,Free,0,3
196,23,Female,2,29.1,8565,Premium,0,0
197,49,Female,1,47.7,7984,Free,0,1
198,21,Male,2,33.4,7142,Free,0,0
199,28,Female,6,45.4,6670,Free,0,2
200,34,Female,0,49.7,4190,Free,1,0
